OLAP Отчет по продажам,,,,,,,
Название ресторана: КАЕФ,,,,,,,
Период: с 01.01.2026 по 31.01.2026,,,,,,,
,,,,Итого,,,
Блюдо,Тип оплаты,Группа блюда 1-го уровня,Группа блюда 2-го уровня,Количество блюд,"Сумма со скидкой, р.","Себестоимость, р.",Себестоимость(%)
 вода банкет,Оплата ЮЛ,МЕРОПРИЯТИЯ,,"120,000","8400,00","0,00","0,00%"
Ассорти мясное 80 гр.,Оплата ЮЛ,МЕРОПРИЯТИЯ,"БМ ""Русская трапеза""5500 руб.","120,000","0,00","0,00","0,00%"
Банкетное предложение 1 персона,Оплата ЮЛ,МЕРОПРИЯТИЯ,,"120,000","660000,00","248147,44","0,00%"
Бефстроганов с картофельным пюре 250 гр.,Оплата ЮЛ,МЕРОПРИЯТИЯ,"БМ ""Русская трапеза""5500 руб.","120,000","0,00","0,00","0,00%"
Блины с икрой 60 гр.,Оплата ЮЛ,МЕРОПРИЯТИЯ,"БМ ""Русская трапеза""5500 руб.","120,000","0,00","0,00","0,00%"
"Бриошь,пашот,лосось, голондез",Оплата ЮЛ,КУХНЯ,КОНТИНЕНТАЛЬНЫЙ ЗАВТРАК,"9,000","0,00","2696,26","0,00%"
Винегрет с квашеной капустой 80 гр.,Оплата ЮЛ,МЕРОПРИЯТИЯ,"БМ ""Русская трапеза""5500 руб.","120,000","0,00","0,00","0,00%"
Глинтвейн,Оплата ЮЛ,БАР,ГОРЯЧИЕ НАПИТКИ,"90,000","36000,00","6236,06","17,32%"
Грузди в сметане 80 гр.,Оплата ЮЛ,МЕРОПРИЯТИЯ,"БМ ""Русская трапеза""5500 руб.","120,000","0,00","0,00","0,00%"
Гурьевская капуста 80 гр.,Оплата ЮЛ,МЕРОПРИЯТИЯ,"БМ ""Русская трапеза""5500 руб.","120,000","0,00","0,00","0,00%"
Дуэт соленое копченое 60 гр.,Оплата ЮЛ,МЕРОПРИЯТИЯ,"БМ ""Русская трапеза""5500 руб.","120,000","0,00","0,00","0,00%"
Икра закусочная из кабачков 80 гр.,Оплата ЮЛ,МЕРОПРИЯТИЯ,"БМ ""Русская трапеза""5500 руб.","120,000","0,00","0,00","0,00%"
"Картофельная вафля, ростбиф, томат",Оплата ЮЛ,КУХНЯ,КОНТИНЕНТАЛЬНЫЙ ЗАВТРАК,"6,000","0,00","2143,42","0,00%"
Оливье по-русски 80 гр.,Оплата ЮЛ,МЕРОПРИЯТИЯ,"БМ ""Русская трапеза""5500 руб.","120,000","0,00","0,00","0,00%"
Перемяч с мясом печеный ,Оплата ЮЛ,МЕРОПРИЯТИЯ,КОФЕ -БРЕЙК,"70,000","31500,00","5530,00","17,56%"
проковый сбор алко и б\а,Оплата ЮЛ,УСЛУГИ,,"120,000","54000,00","0,00","0,00%"
Расстегай с говядиной 100 гр.,Оплата ЮЛ,МЕРОПРИЯТИЯ,"БМ ""Русская трапеза""5500 руб.","120,000","0,00","0,00","0,00%"
"Рыбная нарезка ""Камчатка"" 80 гр.",Оплата ЮЛ,МЕРОПРИЯТИЯ,"БМ ""Русская трапеза""5500 руб.","120,000","0,00","0,00","0,00%"
Селедка с отварной картошкой и луком 80 гр.,Оплата ЮЛ,МЕРОПРИЯТИЯ,"БМ ""Русская трапеза""5500 руб.","120,000","0,00","0,00","0,00%"
Сельдь под шубой 80 гр.,Оплата ЮЛ,МЕРОПРИЯТИЯ,"БМ ""Русская трапеза""5500 руб.","120,000","0,00","0,00","0,00%"
Соленье ассорти 80 гр.,Оплата ЮЛ,МЕРОПРИЯТИЯ,"БМ ""Русская трапеза""5500 руб.","120,000","0,00","0,00","0,00%"
Чай/Кофе,Оплата ЮЛ,МЕРОПРИЯТИЯ,"БМ ""Русская трапеза""5500 руб.","120,000","0,00","0,00","0,00%"
Чайная станция (1 персона),Оплата ЮЛ,МЕРОПРИЯТИЯ,,"120,000","6000,00","3080,86","51,35%"
"Шакшука,казылык",Оплата ЮЛ,КУХНЯ,КОНТИНЕНТАЛЬНЫЙ ЗАВТРАК,"6,000","0,00","877,19","0,00%"
Эчпочмак с говядиной ,Оплата ЮЛ,МЕРОПРИЯТИЯ,КОФЕ -БРЕЙК,"70,000","31500,00","6930,00","22,00%"
Итого,,,,"2531,000","827400,00","275641,23","33,31%"