OLAP Отчет по продажам,,,,,,
Название ресторана: КАЕФ,,,,,,
Период: с 01.01.2026 по 31.01.2026,,,,,,
,,,,Итого,,
Блюдо,Тип оплаты,Группа блюда 1-го уровня,Группа блюда 2-го уровня,Количество блюд,"Сумма со скидкой, р.","Себестоимость, р."
беленькая 40мл,(без оплаты),БАР,АЛКОГОЛЬ,"4,000","0,00","144,16"
Белуга Нобл  40мл,(без оплаты),БАР,АЛКОГОЛЬ,"4,000","0,00","288,68"
Картошечка фри с кетчупом,(без оплаты),КУХНЯ,МЕНЮ A LA CARTE,"1,000","0,00","41,77"
Куриная грудка с овощами гриль,(без оплаты),КУХНЯ,МЕНЮ A LA CARTE,"2,000","0,00","454,19"
Куриная грудка филе,(без оплаты),ТОВАРЫ Птица,,"0,589","0,00","242,66"
Куриный супчик с лапшой,(без оплаты),КУХНЯ,МЕНЮ A LA CARTE,"1,000","0,00","52,22"
Лимонад Черноголовка,(без оплаты),БАР,ХОЛОДНЫЕ НАПИТКИ,"1,000","0,00","64,00"
"Листья романо с цитрусами, филе лосося и авокадо",(без оплаты),КУХНЯ,МЕНЮ A LA CARTE,"2,000","0,00","479,21"
Макарошки с сыром детские,(без оплаты),КУХНЯ,МЕНЮ A LA CARTE,"1,000","0,00","32,43"
Медовик,(без оплаты),КУХНЯ,МЕНЮ A LA CARTE,"1,000","0,00","106,66"
Овощи гриль,(без оплаты),КУХНЯ,МЕНЮ A LA CARTE,"1,000","0,00","74,55"
Округление в пользу гостя,(без оплаты),Сервисный сбор,,"2,000","-0,90","0,00"
Салат с баклажанами и спелыми томатами под сладким чили соусом,(без оплаты),КУХНЯ,МЕНЮ A LA CARTE,"0,125","0,00","14,20"
Сармиентос каберне совиньон 125,(без оплаты),БАР,АЛКОГОЛЬ,"1,000","0,00","70,25"
Свежие овощи с грядки и ароматная зелень,(без оплаты),КУХНЯ,МЕНЮ A LA CARTE,"1,000","0,00","135,48"
"Сок в асс.0,250",(без оплаты),БАР,ХОЛОДНЫЕ НАПИТКИ,"2,000","0,00","69,04"
сок стекло в асс,(без оплаты),БАР,ХОЛОДНЫЕ НАПИТКИ,"1,000","0,00","49,55"
Сырный соус 30 гр,(без оплаты),КУХНЯ,МЕНЮ A LA CARTE,"1,000","0,00","9,26"
Трюфельный бефстроганов из телячей вырезки,(без оплаты),КУХНЯ,МЕНЮ A LA CARTE,"3,000","0,00","972,43"
Турнедо по-казански ,(без оплаты),КУХНЯ,МЕНЮ A LA CARTE,"2,000","0,00","903,67"
Утиная грудка с картофельным пюре,(без оплаты),КУХНЯ,МЕНЮ A LA CARTE,"1,000","0,00","256,15"
Филе лосося на пару/жар.,(без оплаты),КУХНЯ,МЕНЮ A LA CARTE,"1,000","0,00","529,50"
Царская уха с лососем,(без оплаты),КУХНЯ,МЕНЮ A LA CARTE,"4,000","0,00","707,18"
Цезарь с креветками,(без оплаты),КУХНЯ,МЕНЮ A LA CARTE,"1,000","0,00","186,05"
Цезарь с филе фермерского цыпленка,(без оплаты),КУХНЯ,МЕНЮ A LA CARTE,"1,000","0,00","128,32"
Чай в ассортименте,(без оплаты),БАР,ГОРЯЧИЕ НАПИТКИ,"2,000","0,00","108,32"
чай черная смородина-чабрец,(без оплаты),БАР,ГОРЯЧИЕ НАПИТКИ,"1,000","0,00","96,83"
Штрудель яблочный,(без оплаты),КУХНЯ,МЕНЮ A LA CARTE,"2,000","0,00","209,04"
Итого,,,,"44,714","-0,90","6425,78"