,Доходность и загрузка,,,,,,,,,,,,
27.06.2025,,"613 625,00",51,,107,35,"12 031,86","11 577,83","1,37",55,2,53,"96,23 %"
28.06.2025,,"826 980,00",53,,102,38,"15 603,40","15 903,46","1,16",55,3,52,"101,92 %"
29.06.2025,,"384 750,00",31,,58,24,"12 411,29","8 186,17","1,46",55,8,47,"65,96 %"
30.06.2025,,"257 500,00",21,,30,9,"12 261,90","5 049,02","1,22",55,4,51,"41,18 %"
июля 2025,,"16 804 383,90",1365,,2697,969,"12 310,90","10 990,44","1,42",1705,176,1529,"89,27 %"
01.07.2025,,"196 355,00",18,,41,15,"10 908,61","4 462,61","1,27",55,11,44,"40,91 %"
02.07.2025,,"409 700,00",31,,68,27,"13 216,13","8 361,22","2,04",55,6,49,"63,27 %"
03.07.2025,,"505 528,50",40,,46,18,"12 638,21","10 531,84","1,50",55,7,48,"83,33 %"
04.07.2025,,"619 925,00",48,,101,40,"12 915,10","12 398,50","1,23",55,5,50,"96,00 %"
05.07.2025,,"722 522,50",52,,118,37,"13 894,66","13 894,66","0,97",55,3,52,"100,00 %"
06.07.2025,,"194 265,00",19,,40,16,"10 224,47","5 112,24","1,63",55,17,38,"50,00 %"
07.07.2025,,"475 925,00",38,,78,31,"12 524,34","9 518,50","1,39",55,5,50,"76,00 %"
08.07.2025,,"419 900,00",36,,70,26,"11 663,89","8 398,00","1,62",55,5,50,"72,00 %"
09.07.2025,,"461 250,00",42,,73,26,"10 982,14","9 413,27","1,92",55,6,49,"85,71 %"
10.07.2025,,"632 627,00",53,,103,36,"11 936,36","11 936,36","1,31",55,2,53,"100,00 %"
11.07.2025,,"657 545,00",52,,120,41,"12 645,10","12 645,10","1,22",55,3,52,"100,00 %"
12.07.2025,,"697 200,00",53,,125,41,"13 154,72","12 911,11","1,05",55,1,54,"98,15 %"
13.07.2025,,"522 040,00",46,,114,39,"11 348,70","11 348,70","1,51",55,9,46,"100,00 %"
14.07.2025,,"525 455,00",46,,91,30,"11 422,93","10 723,57","2,00",55,6,49,"93,88 %"
15.07.2025,,"576 620,00",49,,85,31,"11 767,76","11 306,27","1,42",55,4,51,"96,08 %"
16.07.2025,,"614 360,00",53,,85,29,"11 591,70","11 591,70","1,48",55,2,53,"100,00 %"
17.07.2025,,"601 250,00",49,,95,34,"12 270,41","11 562,50","1,15",55,3,52,"94,23 %"
18.07.2025,,"673 930,00",50,,111,40,"13 478,60","12 960,19","1,08",55,3,52,"96,15 %"
19.07.2025,,"707 100,00",53,,124,47,"13 341,51","13 341,51","1,62",55,2,53,"100,00 %"
20.07.2025,,"614 475,00",50,,75,27,"12 289,50","11 593,87","1,44",55,2,53,"94,34 %"
21.07.2025,,"492 655,00",43,,105,35,"11 457,09","9 659,90","1,57",55,4,51,"84,31 %"
22.07.2025,,"522 150,00",42,,55,23,"12 432,14","11 867,05","1,61",55,11,44,"95,45 %"
23.07.2025,,"532 042,50",42,,62,24,"12 667,68","10 858,01","1,54",55,6,49,"85,71 %"
24.07.2025,,"477 410,00",40,,71,26,"11 935,25","9 360,98","1,23",55,4,51,"78,43 %"
25.07.2025,,"683 455,00",50,,104,40,"13 669,10","13 401,08","1,25",55,4,51,"98,04 %"
26.07.2025,,"722 605,00",51,,118,40,"14 168,73","13 896,25","1,08",55,3,52,"98,08 %"
27.07.2025,,"423 450,00",37,,79,30,"11 444,59","9 623,86","1,77",55,11,44,"84,09 %"
28.07.2025,,"540 928,40",45,,97,36,"12 020,63","11 509,11","1,69",55,8,47,"95,74 %"
29.07.2025,,"496 075,00",43,,68,23,"11 536,63","11 023,89","1,52",55,10,45,"95,56 %"
30.07.2025,,"538 350,00",46,,69,26,"11 703,26","10 986,73","1,19",55,6,49,"93,88 %"
31.07.2025,,"547 290,00",48,,106,35,"11 401,88","11 401,88","1,60",55,7,48,"100,00 %"
августа 2025,,"17 657 248,40",1270,,2454,899,"13 903,35","11 465,75","1,39",1705,165,1540,"82,47 %"
01.08.2025,,"716 933,00",48,,95,34,"14 936,10","14 631,29","1,32",55,6,49,"97,96 %"
02.08.2025,,"761 290,00",51,,93,33,"14 927,25","14 927,25","1,09",55,4,51,"100,00 %"
03.08.2025,,"641 420,00",47,,123,42,"13 647,23","12 828,40","1,43",55,5,50,"94,00 %"
04.08.2025,,"513 640,00",39,,77,27,"13 170,26","11 166,09","1,26",55,9,46,"84,78 %"
05.08.2025,,"420 900,00",33,,51,20,"12 754,55","8 955,32","1,40",55,8,47,"70,21 %"
06.08.2025,,"508 813,00",39,,73,30,"13 046,49","9 784,87","1,47",55,3,52,"75,00 %"
07.08.2025,,"514 760,00",40,,66,27,"12 869,00","10 093,33","1,11",55,4,51,"78,43 %"
08.08.2025,,"788 810,00",52,,120,47,"15 169,42","14 883,21","1,72",55,2,53,"98,11 %"
09.08.2025,,"833 150,00",54,,52,18,"15 428,70","15 428,70","1,06",55,1,54,"100,00 %"
10.08.2025,,"507 237,00",41,,108,40,"12 371,63","10 567,44","1,33",55,7,48,"85,42 %"
11.08.2025,,"548 405,00",45,,105,40,"12 186,78","11 668,19","2,50",55,8,47,"95,74 %"
12.08.2025,,"479 930,00",40,,57,20,"11 998,25","9 598,60","1,40",55,5,50,"80,00 %"
13.08.2025,,"455 460,00",37,,60,19,"12 309,73","8 758,85","1,26",55,3,52,"71,15 %"
14.08.2025,,"625 388,00",51,,86,34,"12 262,51","12 026,69","1,38",55,3,52,"98,08 %"
15.08.2025,,"711 666,60",49,,98,36,"14 523,81","13 427,67","1,22",55,2,53,"92,45 %"
16.08.2025,,"844 730,00",53,,130,44,"15 938,30","15 938,30","1,27",55,2,53,"100,00 %"
17.08.2025,,"591 268,00",43,,97,33,"13 750,42","12 066,69","1,42",55,6,49,"87,76 %"
18.08.2025,,"576 810,00",45,,80,32,"12 818,00","11 310,00","1,69",55,4,51,"88,24 %"
19.08.2025,,"476 960,00",38,,51,19,"12 551,58","9 352,16","1,74",55,4,51,"74,51 %"
20.08.2025,,"431 830,00",33,,40,15,"13 085,76","8 304,42","1,33",55,3,52,"63,46 %"
21.08.2025,,"478 415,00",36,,67,23,"13 289,31","9 568,30","1,26",55,5,50,"72,00 %"
22.08.2025,,"606 311,60",40,,91,33,"15 157,79","11 888,46","1,24",55,4,51,"78,43 %"
23.08.2025,,"876 829,41",53,,106,42,"16 543,95","16 543,95","1,17",55,2,53,"100,00 %"
24.08.2025,,"548 011,23",41,,99,33,"13 366,13","11 183,90","1,27",55,6,49,"83,67 %"
25.08.2025,,"483 606,08",36,,67,28,"13 433,50","10 075,13","1,64",55,7,48,"75,00 %"
26.08.2025,,"483 396,08",37,,64,24,"13 064,76","10 285,02","1,54",55,8,47,"78,72 %"
27.08.2025,,"421 979,48",32,,44,17,"13 186,86","8 791,24","1,06",55,7,48,"66,67 %"
28.08.2025,,"339 859,46",23,,54,16,"14 776,50","7 724,08","1,31",55,11,44,"52,27 %"
29.08.2025,,"480 089,46",32,,67,24,"15 002,80","10 001,86","1,25",55,7,48,"66,67 %"
30.08.2025,,"802 350,00",48,,109,39,"16 715,63","16 374,49","1,00",55,6,49,"97,96 %"
31.08.2025,,"187 000,00",14,,24,10,"13 357,14","4 452,38","1,10",55,13,42,"33,33 %"
сентября 2025,,"8 602 796,53",713,,1376,557,"12 065,63","6 180,17","1,26",1650,258,1392,"51,22 %"
01.09.2025,,"251 525,88",21,,50,18,"11 977,42","5 467,95","1,17",55,9,46,"45,65 %"
02.09.2025,,"112 570,00",19,,16,7,"5 924,74","2 447,17","1,57",55,9,46,"41,30 %"
03.09.2025,,"91 370,00",18,,28,13,"5 076,11","2 284,25","2,00",55,15,40,"45,00 %"
04.09.2025,,"130 740,00",25,,14,8,"5 229,60","3 352,31","1,25",55,16,39,"64,10 %"
05.09.2025,,"535 875,00",38,,99,35,"14 101,97","10 717,50","1,46",55,5,50,"76,00 %"
06.09.2025,,"756 250,00",48,,81,32,"15 755,21","15 433,67","1,00",55,6,49,"97,96 %"
07.09.2025,,"201 059,15",19,,47,18,"10 582,06","4 370,85","1,06",55,9,46,"41,30 %"
08.09.2025,,"192 413,00",16,,45,15,"12 025,81","4 093,89","1,00",55,8,47,"34,04 %"
09.09.2025,,"103 906,00",10,,20,10,"10 390,60","2 361,50","1,30",55,11,44,"22,73 %"
10.09.2025,,"122 300,00",12,,25,10,"10 191,67","3 305,41","1,30",55,18,37,"32,43 %"
11.09.2025,,"138 590,00",14,,22,10,"9 899,29","3 849,72","1,30",55,19,36,"38,89 %"
12.09.2025,,"394 385,00",34,,86,32,"11 599,56","7 733,04","1,50",55,4,51,"66,67 %"
13.09.2025,,"796 702,00",52,,115,42,"15 321,19","15 321,19","1,05",55,3,52,"100,00 %"
14.09.2025,,"218 445,00",20,,33,13,"10 922,25","4 550,94","1,08",55,7,48,"41,67 %"
15.09.2025,,"195 795,00",17,,43,14,"11 517,35","4 079,06","1,14",55,7,48,"35,42 %"
16.09.2025,,"142 575,00",13,,22,11,"10 967,31","3 033,51","1,36",55,8,47,"27,66 %"
17.09.2025,,"154 565,00",17,,38,13,"9 092,06","3 680,12","1,08",55,13,42,"40,48 %"
18.09.2025,,"545 540,00",44,,65,42,"12 398,64","11 607,23","1,69",55,8,47,"93,62 %"
19.09.2025,,"650 300,00",50,,49,21,"13 006,00","13 006,00","1,43",55,5,50,"100,00 %"
20.09.2025,,"955 200,00",55,,86,46,"17 367,27","17 367,27","1,00",55,0,55,"100,00 %"
21.09.2025,,"254 120,00",22,,54,22,"11 550,91","5 186,12","1,91",55,6,49,"44,90 %"
22.09.2025,,"111 901,50",13,,21,8,"8 607,81","2 486,70","1,00",55,10,45,"28,89 %"
23.09.2025,,"147 650,00",14,,32,13,"10 546,43","3 013,27","1,00",55,6,49,"28,57 %"
24.09.2025,,"138 000,00",13,,28,12,"10 615,38","2 816,33","1,17",55,6,49,"26,53 %"
25.09.2025,,"116 395,00",12,,18,8,"9 699,58","2 424,90","1,00",55,7,48,"25,00 %"
26.09.2025,,"293 355,00",28,,70,27,"10 476,96","6 111,56","1,22",55,7,48,"58,33 %"
27.09.2025,,"558 309,00",38,,98,32,"14 692,34","11 631,44","1,03",55,7,48,"79,17 %"
28.09.2025,,"93 030,00",11,,26,8,"8 457,27","2 067,33","1,00",55,10,45,"24,44 %"
29.09.2025,,"125 900,00",12,,32,11,"10 491,67","2 736,96","1,18",55,9,46,"26,09 %"
30.09.2025,,"74 030,00",8,,13,6,"9 253,75","1 645,11","1,00",55,10,45,"17,78 %"
октября 2025,,"6 652 026,87",621,,1277,501,"10 711,80","4 782,19","1,22",1705,314,1391,"44,64 %"
01.10.2025,,"88 030,00",9,,14,7,"9 781,11","1 956,22","1,14",55,10,45,"20,00 %"
02.10.2025,,"141 600,00",14,,31,12,"10 114,29","3 146,67","1,25",55,10,45,"31,11 %"
03.10.2025,,"371 075,00",41,,98,38,"9 050,61","7 275,98","1,13",55,4,51,"80,39 %"
04.10.2025,,"673 850,00",54,,119,47,"12 478,70","12 478,70","1,02",55,1,54,"100,00 %"
05.10.2025,,"142 850,00",15,,27,12,"9 523,33","3 039,36","1,42",55,8,47,"31,91 %"
06.10.2025,,"94 010,00",11,,16,7,"8 546,36","1 958,54","1,57",55,7,48,"22,92 %"
07.10.2025,,"165 896,00",18,,31,14,"9 216,44","3 606,43","1,64",55,9,46,"39,13 %"
08.10.2025,,"186 202,50",21,,28,11,"8 866,79","3 961,76","1,09",55,8,47,"44,68 %"
09.10.2025,,"176 888,50",16,,25,10,"11 055,53","3 685,18","1,30",55,7,48,"33,33 %"
10.10.2025,,"350 715,00",32,,76,29,"10 959,84","7 462,02","1,17",55,8,47,"68,09 %"
11.10.2025,,"622 546,00",49,,111,44,"12 705,02","12 705,02","1,02",55,6,49,"100,00 %"
12.10.2025,,"72 740,00",8,,12,5,"9 092,50","1 484,49","1,20",55,6,49,"16,33 %"
13.10.2025,,"75 250,00",9,,18,7,"8 361,11","1 567,71","1,57",55,7,48,"18,75 %"
14.10.2025,,"98 250,00",9,,17,7,"10 916,67","2 284,88","2,00",55,12,43,"20,93 %"
15.10.2025,,"103 050,00",10,,12,6,"10 305,00","2 396,51","1,50",55,12,43,"23,26 %"
16.10.2025,,"104 180,00",10,,12,6,"10 418,00","2 480,48","1,00",55,13,42,"23,81 %"
17.10.2025,,"262 651,00",26,,64,24,"10 101,96","5 836,69","1,33",55,10,45,"57,78 %"
18.10.2025,,"543 705,00",43,,97,36,"12 644,30","12 356,93","1,00",55,11,44,"97,73 %"
19.10.2025,,"99 350,00",10,,18,7,"9 935,00","2 365,48","1,00",55,13,42,"23,81 %"
20.10.2025,,"62 400,00",7,,17,7,"8 914,29","1 451,16","1,14",55,12,43,"16,28 %"
21.10.2025,,"92 385,00",10,,23,9,"9 238,50","2 148,49","1,00",55,12,43,"23,26 %"
22.10.2025,,"48 580,00",5,,11,5,"9 716,00","1 129,77","1,00",55,12,43,"11,63 %"
23.10.2025,,"16 280,00",2,,4,2,"8 140,00","387,62","1,50",55,13,42,"4,76 %"
24.10.2025,,"115 720,00",12,,30,11,"9 643,33","2 755,24","1,73",55,13,42,"28,57 %"
25.10.2025,,"432 309,87",36,,74,30,"12 008,61","10 293,09","1,07",55,13,42,"85,71 %"
26.10.2025,,"276 825,00",26,,59,23,"10 647,12","6 920,63","1,39",55,15,40,"65,00 %"
27.10.2025,,"183 840,00",18,,33,12,"10 213,33","4 377,14","1,58",55,13,42,"42,86 %"
28.10.2025,,"193 593,00",18,,25,11,"10 755,17","4 609,36","1,64",55,13,42,"42,86 %"
29.10.2025,,"266 455,00",26,,45,17,"10 248,27","6 344,17","1,24",55,13,42,"61,90 %"
30.10.2025,,"220 605,00",22,,47,16,"10 027,50","5 252,50","1,31",55,13,42,"52,38 %"
31.10.2025,,"370 195,00",34,,83,29,"10 888,09","8 226,56","1,24",55,10,45,"75,56 %"
ноября 2025,,"6 250 101,20",565,,1263,483,"11 062,13","4 599,04","1,14",1650,291,1359,"41,57 %"
01.11.2025,,"506 773,75",41,,96,34,"12 360,34","11 517,59","1,12",55,11,44,"93,18 %"
02.11.2025,,"493 068,45",44,,123,41,"11 206,10","10 957,08","1,24",55,10,45,"97,78 %"
03.11.2025,,"493 812,00",44,,90,34,"11 223,00","10 973,60","1,00",55,10,45,"97,78 %"
04.11.2025,,"227 974,00",22,,58,21,"10 362,45","5 181,23","1,33",55,11,44,"50,00 %"
05.11.2025,,"213 868,00",21,,38,15,"10 184,19","4 860,64","1,13",55,11,44,"47,73 %"
06.11.2025,,"126 300,00",12,,23,9,"10 525,00","2 870,45","1,11",55,11,44,"27,27 %"
07.11.2025,,"156 940,00",14,,32,13,"11 210,00","3 566,82","1,23",55,11,44,"31,82 %"
08.11.2025,,"548 640,00",42,,111,39,"13 062,86","12 759,07","1,05",55,12,43,"97,67 %"
09.11.2025,,"117 590,00",13,,21,10,"9 045,38","2 613,11","1,10",55,10,45,"28,89 %"
10.11.2025,,"61 240,00",6,,12,5,"10 206,67","1 391,82","1,20",55,11,44,"13,64 %"
11.11.2025,,"113 743,00",11,,24,10,"10 340,27","2 585,07","1,20",55,11,44,"25,00 %"
12.11.2025,,"95 340,00",9,,15,7,"10 593,33","2 217,21","1,29",55,12,43,"20,93 %"
13.11.2025,,"129 034,00",13,,25,11,"9 925,69","3 000,79","1,18",55,12,43,"30,23 %"
14.11.2025,,"150 263,00",16,,34,14,"9 391,44","3 197,09","1,29",55,8,47,"34,04 %"
15.11.2025,,"459 864,00",38,,89,34,"12 101,68","9 784,34","1,00",55,8,47,"80,85 %"
16.11.2025,,"110 370,00",11,,26,10,"10 033,64","2 348,30","1,10",55,8,47,"23,40 %"
17.11.2025,,"78 500,00",8,,16,7,"9 812,50","1 670,21","1,14",55,8,47,"17,02 %"
18.11.2025,,"92 890,00",8,,16,7,"11 611,25","2 019,35","1,00",55,9,46,"17,39 %"
19.11.2025,,"32 450,00",3,,8,3,"10 816,67","705,43","1,00",55,9,46,"6,52 %"
20.11.2025,,"100 690,00",9,,20,9,"11 187,78","2 142,34","1,22",55,8,47,"19,15 %"
21.11.2025,,"210 660,00",20,,49,18,"10 533,00","4 482,13","1,17",55,8,47,"42,55 %"
22.11.2025,,"512 200,00",41,,102,38,"12 492,68","10 897,87","1,08",55,8,47,"87,23 %"
23.11.2025,,"90 480,00",10,,13,6,"9 048,00","1 966,96","1,00",55,9,46,"21,74 %"
24.11.2025,,"81 184,00",8,,18,8,"10 148,00","1 764,87","1,50",55,9,46,"17,39 %"
25.11.2025,,"83 054,00",8,,15,7,"10 381,75","1 845,64","1,00",55,10,45,"17,78 %"
26.11.2025,,"110 365,00",12,,23,10,"9 197,08","2 452,56","1,70",55,10,45,"26,67 %"
27.11.2025,,"94 395,00",10,,15,6,"9 439,50","2 145,34","1,33",55,11,44,"22,73 %"
28.11.2025,,"184 905,00",20,,44,16,"9 245,25","3 934,15","1,19",55,8,47,"42,55 %"
29.11.2025,,"439 928,00",38,,78,30,"11 577,05","9 360,17","1,03",55,8,47,"80,85 %"
30.11.2025,,"133 580,00",13,,29,11,"10 275,38","2 903,91","1,00",55,9,46,"28,26 %"
декабря 2025,,"6 012 065,48",426,,964,377,"14 112,83","4 366,06","1,19",1705,328,1377,"30,94 %"
01.12.2025,,"91 522,00",9,,27,9,"10 169,11","1 989,61","1,00",55,9,46,"19,57 %"
02.12.2025,,"36 395,00",4,,11,3,"9 098,75","808,78","1,00",55,10,45,"8,89 %"
03.12.2025,,"46 960,00",5,,12,5,"9 392,00","1 043,56","1,20",55,10,45,"11,11 %"
04.12.2025,,"55 230,00",5,,11,4,"11 046,00","1 227,33","1,00",55,10,45,"11,11 %"
05.12.2025,,"166 534,00",14,,42,14,"11 895,29","3 700,76","1,00",55,10,45,"31,11 %"
06.12.2025,,"355 283,75",28,,67,27,"12 688,71","7 895,19","1,04",55,10,45,"62,22 %"
07.12.2025,,"102 840,00",10,,24,9,"10 284,00","2 285,33","1,11",55,10,45,"22,22 %"
08.12.2025,,"52 810,00",4,,10,3,"13 202,50","1 148,04","1,33",55,9,46,"8,70 %"
09.12.2025,,"68 536,00",6,,13,5,"11 422,67","1 458,21","1,00",55,8,47,"12,77 %"
10.12.2025,,"63 630,00",7,,17,7,"9 090,00","1 353,83","1,00",55,8,47,"14,89 %"
11.12.2025,,"58 134,00",6,,15,6,"9 689,00","1 236,89","1,33",55,8,47,"12,77 %"
12.12.2025,,"248 414,00",25,,45,24,"9 936,56","5 285,40","1,08",55,8,47,"53,19 %"
13.12.2025,,"424 133,00",33,,75,30,"12 852,52","9 425,18","1,03",55,10,45,"73,33 %"
14.12.2025,,"86 900,00",10,,18,9,"8 690,00","1 975,00","1,00",55,11,44,"22,73 %"
15.12.2025,,"35 600,00",5,,10,5,"7 120,00","809,09","1,60",55,11,44,"11,36 %"
16.12.2025,,"90 340,00",10,,15,7,"9 034,00","2 053,18","1,00",55,11,44,"22,73 %"
17.12.2025,,"19 600,00",3,,3,2,"6 533,33","445,45","1,00",55,11,44,"6,82 %"
18.12.2025,,"92 775,00",11,,28,9,"8 434,09","2 108,52","1,22",55,11,44,"25,00 %"
19.12.2025,,"218 576,73",18,,48,17,"12 143,15","4 967,65","1,18",55,11,44,"40,91 %"
20.12.2025,,"443 587,00",35,,79,31,"12 673,91","10 081,52","1,00",55,11,44,"79,55 %"
21.12.2025,,"140 024,00",16,,43,16,"8 751,50","3 182,36","1,00",55,11,44,"36,36 %"
22.12.2025,,"36 400,00",4,,8,4,"9 100,00","827,27","1,25",55,11,44,"9,09 %"
23.12.2025,,"69 580,00",8,,14,6,"8 697,50","1 581,36","1,17",55,11,44,"18,18 %"
24.12.2025,,"60 755,60",7,,14,6,"8 679,37","1 380,81","1,17",55,11,44,"15,91 %"
25.12.2025,,"102 366,40",11,,24,10,"9 306,04","2 326,51","1,00",55,11,44,"25,00 %"
26.12.2025,,"163 975,00",16,,42,16,"10 248,44","3 904,17","1,38",55,13,42,"38,10 %"
27.12.2025,,"426 564,00",34,,75,30,"12 546,00","10 156,29","1,00",55,13,42,"80,95 %"
28.12.2025,,"152 311,00",16,,42,15,"9 519,44","3 714,90","1,27",55,14,41,"39,02 %"
29.12.2025,,"196 419,00",22,,43,17,"8 928,14","4 676,64","1,00",55,13,42,"52,38 %"
30.12.2025,,"198 540,00",14,,37,14,"14 181,43","4 512,27","2,79",55,11,44,"31,82 %"
31.12.2025,,"1 707 330,00",30,,52,17,"56 911,00","39 705,35","1,94",55,12,43,"69,77 %"
Итого за период,,"104 880 280,13",8655,,17713,6676,"12 117,88","5 975,06","1,28",20087,2534,17553,"49,31 %"